PK,DID,DOMAIN,CID,CFR-2007-TITLE45-VOL1-PART164,TYPE_CFR-2007-TITLE45-VOL1-PART164,NIST_HIPAA_SECURITY_RULE_TOOLKIT_W_LINEBREAKS,HHS-ONC_SRATK_ID,HHS-ONC_SRATK,HHS-ONC_SRATK_W_LINEBREAKS,HHS-ONC_SRATK_NIST_MAP,TYPE_HHS-ONC_SRATK
11,164.308,164.308 Administrative Safeguards,164.308(a)(3)(ii)(C),(C) Termination procedures (Addressable). Implement procedures for terminating access to electronic protected health information when the employment of a workforce member ends or as required by determinations made as specified in paragraph (a)(3)(ii)(B) of this section.,Addressable,"Q: Does your organization have a standards set of procedures to recover access control devices, including identification badges, keys access cards from staff, employees and workforce member where their employment ends?
Q: Does your organization have a procedure to deactivate computer, and other electronic tools, access accounts, including the process that will disable user IDs and passwords?
Q: Does your organization need, and have separate termination procedures for voluntary termination, including retirement, promotion, transfer, or change of employment internal to your organization, versus involuntary termination, including for cause, reduction in force, involuntary transfer, and criminal or disciplinary actions?
Q: Does your organization have a standard checklist of action items for completion when a staff, employee, workforce member leaves your employment, such a s the return of all access devices, deactivation of logon accounts, including remote access, and return of any computers and other similar electronic tools, such as a PDA, and cell phone, and delivery of any data/information under this staff, employee of workforce member control?","A28,A29","(A28): Does your practice have policies and procedures for terminating authorized access to its facilities, information systems, and ePHI once the need for access no longer exists?, (A29): Does your practice have formal policies and policies and procedures to support when a workforce member’s employment is terminated and/or a relationship with a business associate is terminated?","(A28): Does your practice have policies and procedures for terminating authorized access to its facilities, information systems, and ePHI once the need for access no longer exists?
(A29): Does your practice have formal policies and policies and procedures to support when a workforce member’s employment is terminated and/or a relationship with a business associate is terminated?",Addressable,"PS-1,PS-4,PS-5"
12,164.308,164.308 Administrative Safeguards,164.308(a)(4)(i),(4)(i) Standard: Information access management. Implement policies and procedures for authorizing access to electronic protected health information that are consistent with the applicable requirements of subpart E of this part.,Standard,"Q: Has your organization implemented policies and procedures that authorized your staff, employees and workforce to access to ePHI to provide protection for the use and disclosure of the ePHI?",A30,(A30): Do your practice’s policies and procedures describe the methods it uses to limit access to its ePHI?,(A30): Do your practice’s policies and procedures describe the methods it uses to limit access to its ePHI?,Standard,"AC-1,AC-2,AC-5,AC-6"
13,164.308,164.308 Administrative Safeguards,164.308(a)(4)(ii),(ii) Implementation specifications:,,Q: Has your organization reviewed the isolating clearinghouse functions implementation specifications?,XXXXX,XXXXX,XXXXX,XXXXX,
14,164.308,164.308 Administrative Safeguards,164.308(a)(4)(ii)(A),"(A) Isolating health care clearinghouse functions (Required). If a health care clearinghouse is part of a larger organization, the clearinghouse must implement policies and procedures that protect the electronic protected health information of the clearinghouse from unauthorized access by the larger organization.",Required,"Q: Does your organization have a component that functions as a healthcare clearinghouse? 
Q: Has your organization a formal and documented finding that one part of your organization is a healthcare clearinghouse?
Q: Has your organization healthcare clearinghouse developed and implemented policies and procedures that protect the clearinghouse ePHI form unauthorized access by the other parts of your organization?
Q: Does your organization's clearinghouse share hardware or software with your larger organization of which it is part?
Q: Does your organization's clearinghouse share staff or physical space with staff from a larger organization?
Q: Has your organization established a separate network or subsystem for your organization's clearinghouse?
Q: Has your organization's clearinghouse staff, employees, and workforce been trained to safeguard ePHI from disclosure to your larger organization?",XXXXX,XXXXX,XXXXX,XXXXX,
15,164.308,164.308 Administrative Safeguards,164.308(a)(4)(ii)(B),"(B) Access authorization (Addressable). Implement policies and procedures for granting access to electronic protected health information, for example, through access to a workstation, transaction, program, process, or other mechanism.",Addressable,"Q: Has your organization formally documented how access to ePHI will be granted to your staff, employees, and workforce members?
Q: Has your organizations formally documented the basis for restricting access to ePHI? 
Q: Has your organization formally documented your ePHI access control method? Does your organization use identity-based, role-based, biometric based, proximity based, other means of access, or a combination of access methods?
Q: Does your organization's job descriptions accurately reflect assigned duties, responsibilities and enforcement of segregation of duties?
Q: Does your organization grant your staff, employees and workforce members remote access to ePHI?
Q: Has your organization determined if direct access to ePHI will be granted to third parties external to your organization, including business partners, other providers, health plans, patients and members to their own ePHI, and others?
Q: Does your organization's IT systems have the capacity to set access controls? 
Q: Does your organization use stronger access controls for sensitive data? ",A31,(A31): Does your practice have policies and procedures that explain how it grants access to ePHI to its workforce members and to other entities (business associates)?,(A31): Does your practice have policies and procedures that explain how it grants access to ePHI to its workforce members and to other entities (business associates)?,Required,"AC-1,AC-2,AC-6"
16,164.308,164.308 Administrative Safeguards,164.308(a)(4)(ii)(C),"(C) Access establishment and modification (Addressable). Implement policies and procedures that, based upon the entity's access authorization policies, establish, document, review, and modify a user's right of access to a workstation, transaction, program, or process.",Addressable,"Q: Has your organization formally documented the standards you use to grant a staff, employee, workforce member user's access to a workstation, lap top, transaction, program, process, and other tools and mechanisms?
Q: Does your organization have security access controls policies and procedures? Are they updated regularly?
Q: Does your organization provide formal written and documented authorization from the appropriate manager before granting access to sensitive information?
Q: Are your organization's staff, employees, and workforce member's duties separated so that only the minimally necessary ePHI based on the specific job description is made available upon request?
Q: Does your organization have authentication mechanisms to verify the identity of the user accessing the system?
Q: Does your organization's management regularly review the list of access authorizations, including remote access authorizations, to verify that the list is accurate and has not been inappropriately altered?","A32,A33","(A32): Do the roles and responsibilities assigned to your practice’s workforce members support and enforce segregation of duties?, (A33): Does your practice’s policies and procedures explain how your practice assigns user authorizations (privileges), including the access that are permitted?","(A32): Do the roles and responsibilities assigned to your practice’s workforce members support and enforce segregation of duties?
(A33): Does your practice’s policies and procedures explain how your practice assigns user authorizations (privileges), including the access that are permitted?",Addressable,"AC-1,AC-2,AC-5"
17,164.308,164.308 Administrative Safeguards,164.308(a)(5)(i),(5)(i) Standard: Security awareness and training. Implement a security awareness and training program for all members of its workforce (including management).,Standard,"Q: Has your organization formally determined and documented your security trailing needs? 
Q: Does your organization interview key staff when assessing your security training needs? 
Q: Did your organization's assessment include the security training needs of sensitive data, and other similar information?
Q: Has your organization determined what awareness, training and education programs are needed, and which programs will be required?
Q: Has your organization outlined content and audience training priorities? 
Q: What gaps did your organization discover in conducting the training assessment; outline what needs to be added and updated?
Q: Does your organization's training strategy and plan include an outline of your organization's specific policies and procedures that require security awareness and training?
Q: Does your organization's training strategy and plan include scope of the awareness an training program?
Q: Does your organization's training strategy and plan include the goals? 
Q: Does your organization's training strategy and plan include the target audience(s)? 
Q: Does your organization's training strategy and plan include the learning objectives? 
Q: Does your organization's training strategy and plan include the deployment methods? 
Q: Does your organization's training strategy and plan include evaluation of the training through designated measurement techniques?
Q: Does your organization's training strategy and plan include the frequency of training? 
Q: Does your organization's training strategy and plan include the consideration of compliance dates and the HITECH Act Updates?
Q: Does your organization have a process, a procedure, in place to ensure that everyone in your organization receives security awareness training?
Q: Does your organization have a plan in place to for training to address specific technical topics based on job descriptions and responsibilities?
Q: Does your organization train your non-employees, such as contractors, interns, volunteers, and others?
Q: Has your organization selected topics to be included in your training content, materials and methods?
Q: Does your organization incorporate new information from email advisories, daily news web sites, periodical, and other sources into your training content and materials when reasonable and appropriate?
Q: What and how many different types of media and venues does your organization use for security awareness training; such as computer based training, on-site trailing, electronic and paper publications, others; name them?
Q: Has your organization given each staff, employee, and workforce member a copy of your security polices and procedures, and do they know where to find them on your internal web or server or other place?
Q: Do your organization's staff, employees, workforce members know whom to contact and the procedures to handle a security incident?
Q: Does your organization's staff, employees, workforce members know and understand the consequences of their noncompliance with your organization's security policies and procedures?
Q: Does your organization's staff, employees, workforce members know how to handle physical security and information security issues with a lap top, PDA, tablet, smart phone, and/or other similar tools?
Q: Does your organization continuously research security issues and security training? Do you update your security training content, materials and evaluation with the new information?
Q: Has your organization scheduled and conducted the training outlined in your training strategy and plan and how often has your organization done security training since the publication of the HIPAA Security Rule?
Q: Does your organization have sanctions to impose on staff, employees and workforce if they do not complete the required security training?
Q: Does your organization keep your security awareness and training program current by updating it periodically? What is the review and update period?
Q: Does your organization conduct new or additional security training whenever changes occur in either technology or practices?
Q: Does your organization have a new hire security awareness, technology and information systems training plan?
Q: Does your organization train non-employees, including, contracts/vendors, interns, volunteers, and others?","A34,A35,A36,A37,A38","(A34): Does your practice have a training program that makes each individual with access to ePHI aware of security measures to reduce the risk of improper access, uses, and disclosures?, (A35): Does your practice periodically review and update its security awareness and training program in response to changes in your organization, facilities or environment?, (A36): Does your practice provide ongoing basic security awareness to all workforce members, including physicians?, (A37): Does your practice provide role-based training to all new workforce members?, (A38): Does your practice keep records that detail when each workforce member satisfactorily completed periodic training?","(A34): Does your practice have a training program that makes each individual with access to ePHI aware of security measures to reduce the risk of improper access, uses, and disclosures?
(A35): Does your practice periodically review and update its security awareness and training program in response to changes in your organization, facilities or environment?
(A36): Does your practice provide ongoing basic security awareness to all workforce members, including physicians?
(A37): Does your practice provide role-based training to all new workforce members?
(A38): Does your practice keep records that detail when each workforce member satisfactorily completed periodic training?",Standard,"AT-1,AT-2,AT-3,AT-4"
18,164.308,164.308 Administrative Safeguards,164.308(a)(5)(ii),(ii) Implementation specifications. Implement:,,Q: Has your organization reviewed the security reminder implementation specifications? ,XXXXX,XXXXX,XXXXX,XXXXX,
19,164.308,164.308 Administrative Safeguards,164.308(a)(5)(ii)(A),(A) Security reminders (Addressable). Periodic security updates.,Addressable,"Q: Does your organization provide periodic security updates to your staff, employees, workforce, business associates and contractors/vendors?
Q: What methods does your organization already have in place or use to keep your staff, employees, workforce, business associates and contractors/vendors updated and aware of security other ways?
Q: Does your organization provide security awareness training with all new hires before they are given access to ePHI?",A39,"(A39): As part of your practice’s ongoing security awareness activities, does your practice prepare and communicate periodic security reminders to communicate about new or important issues?","(A39): As part of your practice’s ongoing security awareness activities, does your practice prepare and communicate periodic security reminders to communicate about new or important issues?",Addressable,SI-5
20,164.308,164.308 Administrative Safeguards,164.308(a)(5)(ii)(B),"(B) Protection from malicious software (Addressable). Procedures for guarding against, detecting, and reporting malicious software.",Addressable,"Q: Has your organization trained your staff, employees, and workforce members in procedures for... * Guarding against, detecting, and reporting malicious software * Monitoring log-in attempts and reporting discrepancies * Creating changing and safeguarding passwords?","A40,A41","(A40): Does your practice’s awareness and training content include information about the importance of implementing software patches and updating antivirus software when requested?, (A41): Does your practice’s awareness and training content include information about how malware can get into your systems?","(A40): Does your practice’s awareness and training content include information about the importance of implementing software patches and updating antivirus software when requested?
(A41): Does your practice’s awareness and training content include information about how malware can get into your systems?",Addressable,"CM-11,AT-2"
21,164.308,164.308 Administrative Safeguards,164.308(a)(5)(ii)(C),(C) Log-in monitoring (Addressable). Procedures for monitoring log-in attempts and reporting discrepancies.,Addressable,XXXXX,A42,(A42): Does your practice include log-in monitoring as part of its awareness and training programs?,(A42): Does your practice include log-in monitoring as part of its awareness and training programs?,Addressable,"AT-2,IR-5"
22,164.308,164.308 Administrative Safeguards,164.308(a)(5)(ii)(D),"(D) Password management (Addressable). Procedures for creating, changing, and safeguarding passwords.",Addressable,XXXXX,A43,(A43): Does your practice include password management as part of its awareness and training programs?,(A43): Does your practice include password management as part of its awareness and training programs?,Addressable,"AC-1,IA-1"
23,164.308,164.308 Administrative Safeguards,164.308(a)(6)(i),(6)(i) Standard: Security incident procedures. Implement policies and procedures to address security incidents.,Standard,Q: Has your organization implemented policies and procedures for any security incidents? ,A44,"(A44): Does your practice have policies and procedures designed to help prevent, detect and respond to security incidents?","(A44): Does your practice have policies and procedures designed to help prevent, detect and respond to security incidents?",Standard,IR-1
24,164.308,164.308 Administrative Safeguards,164.308(a)(6)(ii),"(ii) Implementation specification: Response and Reporting (Required). Identify and respond to suspected or known security incidents; mitigate, to the extent practicable, harmful effects of security incidents that are known to the covered entity; and document security incidents and their outcomes.",Required,"Q: Has your organization documented incident response procedures that can provide your organization with a single point of reference to guide the day-to-day operations of the incident response team?
Q: Has your organization determined how it will respond to a security incident? Are there a formal documented policy and procedures?
Q: Has your organization incorporated your staff, employee, workforce members jobs and job descriptions roles and responsibilities in *
Q: Has your organization reviewed incident response procedures with the staff, employees, or workforce members with the roles and responsibilities related to incident response, solicit suggestions for improvement, and make changes to reflect input that is reasonable and appropriate?
Q: Do your organization's staff, employees and workforce members know the importance of timely application of system patched to protect against malicious software and exploitation of vulnerabilities?
Q: Does your organization monitor log-in attempts? Do your staff, employees and workforce members know of this monitoring?
Q: Has your organization analyzed these problems and created a mitigation plan that it is working to decrease risks and vulnerabilities?
Q: Does your organization have a process, procedure for reporting and handling security incidents?
Q: Has your organization prioritized your key functions to determine what would need to be restored first in the event of a disruption?
Q: Does your organization update the incident response procedures when your organizational needs change?
Q: Has your organization told your staff, employees and workforce members how to and where to report a security incident?
Q: Has your organization developed standard incident reporting templates to ensure that all necessary information related to an incident is documented and investigated?
Q: If you have determined that your organization does not need a standing incident response team, what other response mechanism are you using?
Q: Has your organization determine what information and when data will be disclosed to the media?
Q: Does your organization have an identified list of both internal and external persons and their contact information who should be informed of a security incident has occurred?
Q: Does your organization have mitigation options for security incidents? 
Q: Do your organization's staff, employees, and workforce members know where and to whom to report log-in discrepancies?
Q: Has your organization named an individual, or several individuals, to speak for your organization to the media, law enforcement, clients, business partners and others?
Q: Do your organization's staff, employees, and workforce members understand their roles and responsibilities in selecting a password of appropriate strength, changing the password periodically as required, and safeguarding their password?
Q: Does your organization review your current procedures and determine if they were adequate and appropriate to respond to this particular security incident? And make updates and changes as necessary?
Q: Does your organization's incident response team or individual keep documentation of security incidents, their outcomes, including weaknesses exploited and how access to information was gained?
Q: Does your organization employ malicious code protection mechanisms at information system entry and exit points and at workstations servers, or mobile computing devices on the network to detect and eradicated malicious code) transported by electronic mail, electronic mail attachments, web accesses, removable media, or other common means?","A45,A46,A47,A48","(A45): Does your practice have incident response policies and procedures that assign roles and responsibilities for incident response?, (A46): Does your practice identify members of its incident response team and assure workforce members are trained and that incident response plans are tested?, (A47): Does your practice’s incident response plan align with its emergency operations and contingency plan, especially when it comes to prioritizing system recovery actions or events to restore key processes, systems, applications, electronic device and media, and information (such as ePHI)?, (A48): Does your practice implement the information system’s security protection tools to protect against malware?","(A45): Does your practice have incident response policies and procedures that assign roles and responsibilities for incident response?
(A46): Does your practice identify members of its incident response team and assure workforce members are trained and that incident response plans are tested?
(A47): Does your practice’s incident response plan align with its emergency operations and contingency plan, especially when it comes to prioritizing system recovery actions or events to restore key processes
systems, applications, electronic device and media, and information (such as ePHI)?
(A48): Does your practice implement the information system’s security protection tools to protect against malware?",Required,"IR-1,IR-2,IR-3,IR-4,IR-5"
